source_path,source_folder,label,reason
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/27.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/27.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/30.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/30.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/32.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/32.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/37.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/37.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/39.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/39.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/4.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/4.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/40.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/40.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/42.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/42.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/44.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/44.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/45.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/45.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/46.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/46.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/48.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/48.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/51.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/51.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/58.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/58.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/59.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/59.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/65.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/65.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/68.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/68.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/69.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/69.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/70.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/70.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/73.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/73.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/75.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/75.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/76.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/76.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/78.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/78.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/80.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/80.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/86.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/86.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/88.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/88.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/90.jpg,contagious_stray_dogs,ill,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/contagious_stray_dogs/90.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/101.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/101.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/103.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/103.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/104.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/104.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/109.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/109.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/110.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/110.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/115.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/115.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/116.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/116.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/118.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/118.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/119.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/119.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/121.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/121.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/126.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/126.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/127.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/127.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/133.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/133.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/136.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/136.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/137.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/137.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/140.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/140.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/141.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/141.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/142.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/142.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/145.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/145.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/147.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/147.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/154.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/154.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/160.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/160.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/172.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/172.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/177.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/177.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/181.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/181.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/182.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/182.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/185.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/185.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/199.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/199.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/30.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/30.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/31.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/31.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/35.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/35.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/51.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/51.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/52.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/52.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/53.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/53.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/61.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/61.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/62.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/62.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/7.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/7.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/73.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/73.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/77.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/77.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/8.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/8.jpg'
/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/98.jpg,healthy_stray_dogs,healthy,cannot identify image file '/Users/saber/Desktop/PI DEV/integration-final/python/data/healthy_stray_dogs/98.jpg'
